Time [s],MOSI,MISO
5.191780833, 0x00, 0x9C
5.19708, 0x00, 0xA5
5.1972025, 0x09, 0xFF
5.197265917, 0x4E, 0xFF
5.197332333, 0x00, 0xFF
5.19739875, 0x00, 0xFF
5.19746525, 0xF5, 0xFF
5.197531667, 0x01, 0xFF
5.197598167, 0x09, 0xFF
5.197664833, 0x64, 0xFF
5.197731833, 0x00, 0xFF
5.197798833, 0xFF, 0xFF
5.197865917, 0xFF, 0xFF
5.197934, 0x7B, 0xFF
5.440104667, 0x00, 0xA4
5.44016, 0x00, 0x03
5.440217333, 0x00, 0x40
5.44027675, 0x00, 0x00
5.440336167, 0x00, 0x01
5.440408833, 0x00, 0x03
5.440468083, 0x00, 0xE5
5.441199, 0x00, 0xA4
5.441254167, 0x00, 0x09
5.4413115, 0x00, 0x4E
5.441370917, 0x00, 0x00
5.441430333, 0x00, 0x80
5.441489583, 0x00, 0xFF
5.441549, 0x00, 0xFF
5.441608333, 0x00, 0xFF
5.44166775, 0x00, 0xFF
5.441727167, 0x00, 0xFF
5.441917083, 0x00, 0xFF
5.4419765, 0x00, 0xFF
5.44203575, 0x00, 0x9C
5.447334417, 0x00, 0xA5
5.447456917, 0x09, 0xFF
5.44752025, 0x4E, 0xFF
5.447586667, 0x00, 0xFF
5.447653167, 0x00, 0xFF
5.447719583, 0xF5, 0xFF
5.447786083, 0x01, 0xFF
5.4478525, 0x09, 0xFF
5.447919167, 0x64, 0xFF
5.44798625, 0x00, 0xFF
5.44805325, 0xFF, 0xFF
5.44812025, 0xFF, 0xFF
5.448188417, 0x7B, 0xFF
5.690358917, 0x00, 0xA4
5.690414167, 0x00, 0x03
5.690471583, 0x00, 0x40
5.690531, 0x00, 0x00
5.690590333, 0x00, 0x01
5.6906625, 0x00, 0x03
5.69072175, 0x00, 0xE5
5.691452667, 0x00, 0xA4
5.691507917, 0x00, 0x09
5.691565333, 0x00, 0x4E
5.69162475, 0x00, 0x00
5.691684083, 0x00, 0x80
5.691743333, 0x00, 0xFF
5.69180275, 0x00, 0xFF
5.691862167, 0x00, 0xFF
5.691921583, 0x00, 0xFF
5.691980917, 0x00, 0xFF
5.692170833, 0x00, 0xFF
5.69223025, 0x00, 0xFF
5.6922895, 0x00, 0x9C
5.697588833, 0x00, 0xA5
5.69771125, 0x09, 0xFF
